"ID","SongName","Performer","CivilDate","HebrewDate","Composer","Poet","MusicalAdapter","Others","PlaceOfPublication","NameOfPublisher"
"000220052","יפה נוף משוש תבל","עדקי יחיאל","1970","","","","","","",""
"000222306","יפה נוף משוש תבל","","1970","","","","","","",""
"000223101","מרן דבשמיא לך מתחננין","עדקי יחיאל, קאפח יוסף בן דוד","1972","","","","","","",""
"000224065","שיר המעלות בשוב השם","","1986","","","","","","",""
"000224077","אשת חיל... בטח בה","","1983","","","","","","",""
"000224139","אשת חיל... בטח בה","","1986","","","","","","",""
"000224266","שבח אל חי אשבח במלים","מעטוף שלום יצחק","1966","","","","","","",""
"000224498","הגדה של פסח","יעקב מנחם דאוד, יעקב אברהם, יעקב אהרן, יעקב אפרים","1979","","","","","","",""
"000225524","חריוה אלביצ'א","","","","","","","","",""
"000225525","והפיץ השם אתכם בעמים","","1970","","","","","","",""
"000225527","אני הגבר ראה עני","","1970","","","","","","",""
"000225529","יברכך השם וישמרך","","1970","","","","","","",""
"000225531","וימת שם משה עבד השם","","1970","","","","","","",""
"000226529","הא לחמא עניא","","1965","","","","","","",""
"000226530","שמע ישראל","","1965","","","","","","",""
"000226531","שיר השירים אשר לשלמה","","1965","","","","","","",""
"000226532","יתגדל ויתקדש","","1965","","","","","","",""
"000226533","מזמור לדוד השם רעי","","1965","","","","","","",""
"000226534","כל נדרי","","1965","","","","","","",""
"000226535","הנה מה טוב ומה נעים","","1965","","","","","","",""
"000226536","ויהי בימי אחשורוש","","1965","","","","","","",""
"000226537","פתחי לי שעריך מדוע ארצי כה רחקת","לסלו שנדור","1965","","נבון שמואל","","","נבון שמואל","",""
"000227351","מאיר בנאי - איפה הם כל אבותינו","בנאי מאיר","1997","","בנאי מאיר","","","חפר חיים","","אן.אם.סי."
"000227688","פרוט השירים בתקליטור","ברזיל שמואל, בראדט אביש, רגש","","","ברזיל שמואל","","לאם ישראל, בראדט אביש","","",""
"000228235","שלום לתמימות רמיקס","שחר רונית","1997","","שחר רונית","","","","אור יהודה","הד ארצי"
"000228518","אז היה לה","דרור איתן","2006","","דרור איתן","","","גולדברג לאה, אידלסון ישראל","ירושלים","א. דרור"
"000228697","קדיש","פרנקל ב.","","","","","","","",""
"000228698","סדר העבודה","פרנקל ב.","","","","","","","",""
"000228699","מגילת אסתר קריאה","פרנקל ב.","","","","","","","",""
"000228753","קדוש","פלישמן הרמן","","","","","","","",""
"000228754","קדוש","פלישמן הרמן","","","","","","","",""
"000228755","אל מלא רחמים... המצא מנוחה נכונה","לבנדובסקי מנפרד","","","","","","","",""
"000228766","על נהרות בבל שם ישבנו","לבנדובסקי מנפרד","","","","","","בדריאן ל.","",""
"000228767","אל דר במרום","רוזנבלט יוסף","","","","","","","",""
"000228768","לאל עורך דין לבוחן לבבות","רוזנבלט יוסף","","","","","","","",""
"000228777","אהבתי כי ישמע השם","Englander Samuel Henri, Koor der Groote Synagoge Amsterdam","","","","","","","",""
"000228778","הללויה הללו אל בקדשו","Englander Samuel Henri, Koor der Groote Synagoge Amsterdam","","","","","","ברלין יוהן","",""
"000228780","ובשופר גדול יתקע","פלישמן הרמן","","","","","","זולצר שלמה","",""
"000228782","לכה דודי... שמור וזכור","","","","זולצר שלמה, אלטר ישראל, קופף לאו","","","","",""
"000228783","לכה דודי... שמור וזכור","","","","זולצר שלמה, אלטר ישראל, קופף לאו","","","","",""
"000228784","דאס יידישע ליד","נוימן קרל","","","","","","","",""
"000228785","כל נדרי","סירוטה גרשון","","","","","","","",""
"000228786","הלבן חטאינו","גורדון מ.","","","","","","","",""
"000228787","דער פאראם","גורדון מ.","","","","","","","",""
"000228788","ועל ידי עבדיך הנביאים","Verstärkter Synagogen-Chor","","","","","","לבנדובסקי לואי","",""
"000228790","כי כשמך כן תהלתך קשה לכעוס","פרנקל זכריה, הרטנברג שלמה, Verstärkter Synagogen-Chor","","","","","","לבנדובסקי לואי","",""
"000228792","מעוז צור ישועתי","פלישמן הרמן","","","","","","ברגרין ראובן","",""
"000228796","פרוט השירים בתקליטור","אבני פרן, הירשהורן לינדה","","","הירשהורן לינדה","","אבני פרן","פלק מרשה לי, איזנברג פאולה, רובינסון אלן, פרידמן יהודית קייט, הירשהורן קופר טליה","",""
